,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
0,T10,Independent,C1000,ProductDev,Association,0,N,5000,1
1,T3,Independent,C2000,Preservation,Co-operative,1-9999,N,108590,1
2,T5,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
3,T3,CompanySponsored,C2000,Preservation,Trust,10000-24999,N,6692,1
4,T3,Independent,C1000,Heathcare,Trust,100000-499999,N,142590,1
5,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
6,T3,Independent,C1000,Preservation,Trust,100000-499999,N,31452,1
7,T3,Independent,C2000,Preservation,Trust,10M-50M,N,7508025,1
8,T7,Independent,C1000,ProductDev,Trust,1-9999,N,94389,1
9,T5,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
10,T3,Independent,C1200,Preservation,Trust,25000-99999,N,69656,0
11,T3,Independent,C2000,Preservation,Trust,100000-499999,N,165593,0
12,T3,CompanySponsored,C1200,Preservation,Association,0,N,5000,1
13,T3,Independent,C2700,Preservation,Trust,25000-99999,N,5301,1
14,T3,Independent,C1000,Preservation,Trust,0,N,5000,1
15,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
16,T3,Independent,C2000,Preservation,Trust,0,N,5000,1
17,T3,Independent,C1000,Heathcare,Trust,50M+,N,86380556,0
18,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,0
19,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,N,376109,0
20,T4,Independent,C3000,ProductDev,Trust,0,N,5000,1
21,T3,Independent,C1200,Preservation,Trust,0,N,5000,1
22,T3,Independent,C7000,Preservation,Trust,100000-499999,N,318296,0
23,T4,CompanySponsored,C3000,ProductDev,Association,0,N,5000,0
24,T3,CompanySponsored,C1200,Preservation,Trust,0,N,5000,0
25,T4,Independent,C3000,ProductDev,Trust,0,N,5000,1
26,T3,CompanySponsored,C1000,Preservation,Trust,0,N,5000,1
27,T3,CompanySponsored,C2000,Preservation,Trust,25000-99999,N,44004,1
28,T3,CompanySponsored,C2000,Preservation,Trust,0,N,5000,0
29,T6,Independent,C2000,ProductDev,Trust,0,N,5000,1
